AverageMInFile,ExternalRiskEstimate,MSinceMostRecentDelq,MSinceMostRecentInqexcl7days,MSinceMostRecentTradeOpen,MSinceOldestTradeOpen,MaxDelq2PublicRecLast12M,MaxDelqEver,NetFractionInstallBurden,NetFractionRevolvingBurden,NumBank2NatlTradesWHighUtilization,NumInqLast6M,NumInqLast6Mexcl7days,NumInstallTradesWBalance,NumRevolvingTradesWBalance,NumSatisfactoryTrades,NumTotalTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,NumTradesOpeninLast12M,PercentInstallTrades,PercentTradesNeverDelq,PercentTradesWBalance,target
91,57,2,-1,6,159,4,5,29,91,2,0,0,1,4,10,16,1,0,1,31,47,86,1
173,67,6,0,7,586,4,4,63,37,2,3,3,4,6,45,47,3,2,2,17,89,53,0
79,64,48,0,9,143,6,6,83,61,1,0,0,1,1,12,16,1,1,2,31,88,33,1
70,83,53,0,17,282,7,8,34,5,0,0,0,2,3,19,19,0,0,0,32,100,56,1
39,69,42,0,9,80,7,8,54,42,2,1,1,1,5,9,9,0,0,1,11,100,75,1
40,60,65,8,9,199,0,5,46,103,3,0,0,2,4,14,16,3,2,3,44,94,100,1
57,67,34,-1,6,162,6,8,77,31,1,5,5,2,4,18,0,1,1,3,44,100,86,1
95,63,56,0,11,408,6,5,46,99,2,0,0,4,3,26,29,1,0,1,66,86,78,0
80,75,17,-1,1,247,6,6,97,8,1,2,2,2,4,28,46,0,0,2,23,87,40,1
182,69,38,0,1,603,6,6,52,96,4,0,0,0,4,10,11,0,0,1,18,82,80,0
60,54,5,0,6,167,4,3,98,74,2,0,0,2,3,10,11,1,1,2,45,82,100,1
128,69,33,-1,3,155,6,8,81,45,1,1,1,3,3,25,26,1,1,3,23,100,50,0
89,73,36,2,2,339,6,3,72,23,1,2,2,4,6,33,38,2,1,5,32,92,77,0
63,76,66,19,12,168,6,4,67,48,0,0,0,6,3,21,24,1,1,0,54,88,69,1
76,65,6,0,14,206,4,6,82,76,1,1,1,3,2,25,26,5,5,0,69,88,100,0
103,90,32,0,12,238,7,8,49,1,0,0,0,1,1,16,16,0,0,0,25,100,33,0
115,64,4,-1,15,227,4,6,120,49,3,1,1,4,9,47,51,0,0,0,38,88,64,1
83,89,76,0,4,176,7,8,54,0,0,0,0,1,1,12,12,0,0,2,58,100,50,0
58,80,35,13,7,158,6,7,80,19,1,0,0,2,2,25,26,0,0,1,19,100,50,0
75,67,63,-1,2,194,7,8,100,87,6,1,1,2,9,24,27,0,0,1,41,100,85,1
74,69,30,0,3,142,7,8,80,32,1,7,7,4,15,47,47,0,0,1,32,100,71,0
110,89,77,25,1,204,7,8,49,6,0,0,0,3,5,23,14,0,0,1,40,100,67,0
85,87,67,6,6,146,7,8,52,14,0,0,0,2,1,6,6,0,0,1,50,100,75,0
99,68,69,1,16,178,7,8,69,86,3,2,2,3,5,24,25,0,0,0,56,100,80,0
118,91,76,0,1,364,7,8,45,0,0,1,1,0,1,12,13,0,0,1,8,100,20,0
93,87,45,0,8,294,7,8,71,2,0,1,1,4,1,35,60,0,0,2,23,100,24,0
55,72,65,-1,3,174,6,6,98,17,1,5,5,2,3,21,22,0,0,3,36,95,56,1
51,72,80,-1,3,120,6,5,81,44,0,3,3,9,5,16,19,1,0,2,53,94,100,1
18,73,61,-1,5,44,7,8,95,23,0,0,0,3,5,20,20,0,0,10,35,100,67,0
72,67,47,0,9,153,7,8,91,82,11,3,3,5,15,58,59,0,0,1,22,100,87,0
60,70,81,1,3,340,6,6,61,39,2,1,1,3,6,28,34,0,0,4,25,96,50,0
50,82,30,0,1,112,6,6,77,8,1,1,1,2,2,13,14,0,0,4,43,93,50,1
42,73,74,-1,24,69,7,8,37,54,1,1,0,1,5,7,7,0,0,0,14,100,86,1
78,56,1,-1,7,201,4,6,41,68,1,4,4,1,10,23,31,0,0,4,29,55,73,1
97,76,35,2,3,400,6,6,96,2,0,1,1,2,4,17,17,1,1,2,18,94,75,0
63,72,30,0,10,133,7,8,62,52,2,2,2,1,3,17,17,0,0,1,24,100,83,0
106,62,6,-1,14,242,4,2,46,67,1,0,0,2,5,15,7,2,2,0,28,56,78,1
69,75,63,2,5,160,7,8,100,85,2,2,2,2,2,12,12,0,0,2,42,100,83,1
62,84,68,-1,7,213,7,8,79,13,0,2,2,2,4,19,21,0,0,1,32,100,50,0
67,81,35,0,4,261,7,8,68,29,1,1,1,3,3,22,24,0,0,2,33,100,50,1
119,62,2,0,2,353,4,6,99,37,1,2,2,7,8,27,29,1,1,6,41,86,89,1
72,73,55,0,1,216,7,8,88,25,0,10,10,4,3,41,42,0,0,4,24,100,50,1
21,70,47,-1,17,23,7,8,78,95,20,0,0,1,1,3,4,0,0,0,67,100,100,1
123,75,24,25,40,382,6,6,57,31,1,0,0,0,4,13,13,0,0,0,8,92,67,1
56,66,39,0,5,100,6,5,82,39,1,4,1,2,2,13,17,2,0,2,41,71,57,1
62,65,61,-1,5,273,7,8,88,57,3,2,2,4,7,32,51,0,0,4,59,100,85,0
48,83,40,-1,5,129,7,8,53,30,0,1,1,1,1,4,4,0,0,2,50,100,100,1
58,80,32,0,5,162,6,6,90,6,0,0,0,10,3,41,42,0,0,5,60,98,64,0
94,84,12,9,3,220,6,6,95,5,0,0,0,3,1,37,37,0,0,3,30,97,40,1
83,67,46,2,1,206,6,5,64,60,2,1,1,1,5,12,14,3,2,3,29,93,67,1
48,60,7,0,3,99,4,6,95,100,20,1,0,5,1,33,34,0,0,6,94,97,100,1
68,64,8,5,2,181,3,5,78,37,1,0,0,2,2,17,22,2,0,3,55,82,57,0
83,68,12,10,21,385,6,3,48,56,2,0,0,2,6,20,22,1,1,0,36,95,80,0
98,70,8,0,4,294,4,6,59,30,1,2,2,2,4,29,32,0,0,1,53,91,86,1
100,80,40,0,54,173,7,8,43,69,1,3,3,2,4,12,13,0,0,0,31,100,86,0
24,83,56,-1,8,54,7,8,39,5,0,0,0,2,1,5,6,0,0,2,50,100,100,0
63,55,5,2,3,167,4,6,43,66,2,1,1,3,7,25,11,0,0,4,32,84,71,1
57,76,14,0,30,107,6,6,55,30,0,0,0,2,1,5,6,0,0,0,50,83,100,1
38,71,24,0,2,77,6,6,80,63,1,1,1,1,3,12,13,0,0,3,15,92,80,1
90,59,9,13,41,157,3,5,54,16,0,0,0,1,1,4,6,2,0,0,83,50,100,1
44,74,27,2,3,86,6,6,69,0,1,1,1,5,3,24,25,0,0,5,21,92,53,0
76,84,66,16,9,213,7,8,53,35,0,0,0,2,2,17,17,0,0,1,18,100,57,0
93,51,1,0,6,232,0,2,88,94,1,0,0,3,2,13,16,2,1,3,38,69,83,1
114,68,63,2,12,205,7,8,52,63,3,1,1,2,5,28,29,0,0,0,11,100,78,1
44,75,26,0,3,274,6,6,48,1,0,5,4,3,2,22,22,0,0,5,32,95,45,0
77,64,79,0,2,173,7,8,43,100,2,5,4,0,3,7,8,0,0,2,0,100,100,1
83,72,37,14,15,199,6,6,90,54,1,0,0,2,1,20,20,0,0,0,45,80,75,0
5,61,39,0,2,8,7,8,48,92,1,2,2,1,1,1,2,0,0,2,50,100,100,1
75,68,12,-1,4,156,6,6,85,41,0,0,0,2,5,31,35,0,0,1,37,94,70,1
11,66,67,0,3,18,7,8,99,68,20,1,1,2,11,2,2,0,0,1,100,100,100,1
133,88,68,4,18,265,7,8,53,5,0,3,1,1,3,18,22,0,0,0,42,100,80,0
73,68,34,2,3,299,6,6,46,60,3,2,2,1,5,19,19,0,0,1,37,95,60,1
191,74,25,25,25,502,6,5,37,51,1,0,0,0,3,13,14,1,0,0,0,93,33,0
44,79,60,5,9,97,6,6,44,5,0,0,0,1,5,26,26,0,0,1,12,96,33,1
49,66,16,0,2,91,6,6,57,75,20,3,3,2,11,10,12,0,0,2,83,75,100,1
86,82,60,8,9,144,7,8,57,76,20,0,0,2,0,14,14,0,0,1,43,100,67,0
59,74,70,-1,4,101,7,8,57,47,1,2,2,3,2,13,14,0,0,1,50,100,100,1
81,74,67,-1,2,197,6,6,50,11,1,2,2,3,4,21,24,1,1,2,46,96,80,1
15,66,40,0,11,22,7,8,84,46,1,2,2,3,4,7,7,0,0,2,43,100,100,1
68,70,52,0,7,117,7,8,41,90,4,8,8,1,7,22,26,0,0,1,23,100,80,0
96,70,17,0,8,176,5,6,71,74,3,0,0,4,8,20,20,0,0,1,30,95,86,1
117,89,39,0,9,323,7,8,48,0,20,5,5,0,0,9,9,0,0,1,11,100,0,1
71,80,51,0,13,372,7,8,50,35,1,4,4,1,1,9,14,0,0,0,33,100,29,0
103,83,77,-1,12,185,6,6,53,7,0,0,0,1,4,13,13,0,0,0,15,92,83,0
67,70,57,0,6,134,6,6,78,52,2,0,0,3,2,19,20,0,0,3,45,95,63,1
85,82,62,0,4,356,7,8,53,2,0,1,1,1,5,34,34,0,0,3,21,100,35,0
72,57,3,2,4,246,1,3,70,12,0,3,3,12,3,34,40,2,1,4,73,88,89,1
143,85,67,25,20,324,7,8,47,10,0,0,0,1,4,21,21,0,0,0,33,100,70,0
61,77,58,2,3,223,7,8,97,44,2,3,3,1,5,22,22,0,0,4,5,100,46,1
68,86,68,0,3,155,7,8,98,2,0,1,1,1,2,33,36,0,0,2,42,100,60,0
117,75,52,0,8,311,7,8,58,34,2,5,5,0,4,40,45,0,0,2,42,100,45,0
77,90,66,0,3,148,7,8,51,0,0,1,1,0,0,9,16,0,0,1,0,100,0,1
45,81,70,0,9,79,7,8,82,7,0,0,0,2,3,12,16,0,0,2,44,100,56,1
132,71,4,0,17,301,4,6,44,46,1,0,0,1,2,13,14,0,0,0,36,93,60,0
62,68,65,0,4,154,6,2,75,42,2,4,4,2,9,16,18,1,1,4,22,94,85,1
85,80,50,2,3,215,7,8,96,28,0,1,1,2,3,18,11,0,0,2,50,100,63,0
149,77,9,-1,4,301,4,6,89,20,1,0,0,2,6,13,42,0,0,2,31,92,80,1
94,71,13,-1,15,103,6,5,60,48,0,0,0,0,2,6,7,1,0,0,14,86,67,1
81,83,75,7,16,183,7,8,67,3,0,1,0,4,1,18,32,0,0,0,61,100,63,0
56,56,3,0,35,79,4,5,56,54,0,0,0,1,1,6,9,3,0,0,33,67,100,1
85,74,20,0,6,160,6,3,48,12,0,2,1,1,1,11,13,1,1,1,42,92,100,0
108,91,43,-1,3,150,7,8,41,2,0,1,1,3,1,10,11,0,0,1,64,100,67,0
66,56,0,14,15,126,4,6,60,21,0,0,0,2,4,22,22,2,2,0,23,86,55,1
65,73,62,0,3,109,7,8,51,13,1,1,1,2,4,27,28,1,1,2,15,100,35,0
53,71,23,0,2,132,6,5,85,36,1,1,1,2,4,10,13,1,0,2,46,85,100,1
95,70,15,23,12,219,6,2,33,60,1,0,0,2,2,16,17,2,2,0,41,94,80,0
62,68,17,14,2,105,6,6,65,51,2,0,0,4,5,34,57,0,0,2,37,91,56,0
36,74,36,-1,6,73,6,6,63,10,0,1,1,5,2,16,16,0,0,3,75,94,88,1
123,84,20,6,37,233,6,4,61,1,0,0,0,1,3,19,52,1,1,0,20,90,40,0
128,58,10,0,17,246,4,4,69,74,2,0,0,1,4,8,9,2,2,0,22,78,83,1
171,67,57,0,4,344,6,6,68,77,4,0,0,3,6,24,26,0,0,3,31,96,71,0
60,60,6,25,15,94,4,2,62,19,20,0,0,1,1,2,9,6,4,0,22,11,67,1
73,67,3,-1,7,260,4,6,46,44,0,1,1,1,4,15,16,0,0,2,44,81,100,1
68,54,20,-1,7,157,6,6,87,94,6,0,0,4,10,26,30,0,0,2,52,90,93,1
47,67,57,-1,2,210,6,2,75,50,0,1,1,2,2,5,7,1,1,2,43,86,80,0
54,66,36,3,1,124,6,6,54,54,2,4,4,0,7,20,21,0,0,2,5,95,64,1
99,63,5,-1,6,376,4,6,44,53,1,3,2,1,8,18,18,0,0,1,22,94,100,1
96,77,68,0,27,148,7,8,51,75,0,2,2,1,1,13,14,0,0,0,50,100,100,0
67,72,37,14,14,313,6,6,65,77,2,0,0,2,2,20,31,0,0,0,19,95,44,0
62,76,13,0,3,137,6,3,57,9,0,0,0,1,4,31,33,1,1,5,36,91,36,1
91,78,63,0,23,197,7,8,32,57,20,5,5,2,2,15,17,0,0,0,41,100,67,1
117,64,3,1,1,244,4,4,77,75,3,9,9,5,6,35,42,2,1,4,60,90,100,0
49,74,51,-1,5,108,7,8,64,59,1,0,0,2,4,19,19,0,0,1,32,100,67,1
57,79,66,-1,9,125,7,8,71,1,0,1,1,4,1,29,33,0,0,1,45,100,45,0
94,89,36,7,23,327,7,8,61,3,0,0,0,1,3,18,19,0,0,0,28,100,50,1
65,72,42,0,6,206,7,8,60,66,4,1,1,3,7,43,44,0,0,1,34,100,91,0
87,73,4,0,11,385,4,6,52,28,0,0,0,1,4,20,20,0,0,1,15,95,36,0
118,78,34,-1,3,254,6,6,9,20,0,1,1,3,6,39,39,0,0,2,26,95,56,0
89,61,10,0,1,209,0,2,46,35,1,8,8,4,8,34,41,2,2,3,44,83,76,1
85,82,64,0,8,181,7,8,55,24,0,0,0,1,3,12,12,0,0,1,33,100,57,0
56,79,34,-1,4,138,7,8,48,12,0,0,0,2,4,26,27,0,0,3,19,100,70,0
50,65,6,-1,2,182,3,5,88,58,0,8,7,3,4,18,21,1,0,5,57,90,88,1
82,85,69,-1,2,253,6,6,101,6,0,1,1,2,1,15,18,0,0,4,33,94,38,1
74,71,43,0,6,176,7,8,36,54,3,1,1,2,5,29,29,0,0,3,34,100,70,0
139,65,1,1,2,332,3,5,55,5,0,1,1,0,9,16,18,1,0,2,0,89,60,0
73,66,15,0,2,464,6,6,36,79,3,2,2,2,6,23,26,0,0,2,31,96,80,1
43,69,54,0,8,100,7,8,92,47,2,2,2,2,4,12,13,0,0,3,33,100,86,1
88,87,78,22,11,133,7,8,14,3,0,0,0,1,1,14,22,0,0,1,14,100,67,0
24,58,3,0,15,30,4,6,50,75,20,0,0,1,1,4,4,0,0,0,50,25,100,1
9,66,49,0,4,200,7,8,56,97,1,2,2,1,1,2,15,0,0,1,50,100,100,1
34,71,37,0,5,76,6,6,60,53,1,0,0,0,4,9,9,0,0,4,11,89,67,1
68,78,17,0,15,128,6,6,85,6,0,0,0,2,4,11,11,0,0,0,27,82,60,0
98,86,61,0,6,285,7,8,86,14,0,3,3,2,2,21,23,0,0,1,48,100,57,0
64,72,79,-1,4,241,7,8,96,69,2,1,1,2,3,14,15,0,0,3,43,100,100,1
70,77,53,0,13,186,6,5,50,32,1,1,1,3,1,9,10,1,0,0,60,90,67,0
117,76,40,0,13,315,6,6,57,15,2,1,1,5,10,35,35,0,0,0,17,97,53,1
97,75,29,0,4,303,6,2,49,6,1,0,0,2,2,35,37,1,1,1,49,97,57,0
105,73,6,1,2,283,4,6,65,29,1,1,1,2,3,20,22,0,0,2,33,95,63,1
60,55,1,0,12,115,0,2,0,13,0,0,0,2,1,8,13,2,2,0,31,62,60,0
17,62,32,0,4,42,7,8,56,57,3,2,2,1,8,12,16,0,0,4,6,100,75,1
66,72,43,0,2,224,7,8,69,28,0,0,0,2,9,31,33,0,0,3,24,100,61,0
83,60,17,1,3,236,6,5,49,82,3,3,3,2,6,41,31,1,0,1,30,86,75,0
25,71,40,9,4,60,7,8,85,46,0,0,0,5,5,16,16,0,0,2,56,100,100,1
18,59,67,0,1,42,7,8,89,59,1,1,1,4,4,11,14,2,2,4,58,100,89,1
54,70,61,4,2,159,7,8,98,38,1,1,1,5,2,33,0,0,0,5,34,100,64,1
37,64,20,0,3,112,6,6,93,38,1,1,1,3,2,15,15,0,0,4,33,93,45,1
25,58,52,1,3,54,7,8,97,73,5,8,8,6,8,26,26,0,0,5,35,100,74,1
48,73,72,0,2,131,7,8,25,38,2,2,2,2,7,27,30,0,0,4,37,100,53,1
119,72,78,11,12,290,7,8,44,37,1,0,0,5,12,45,22,0,0,0,28,100,78,0
58,82,50,4,4,115,6,5,52,2,0,1,1,4,1,24,25,1,0,4,52,96,71,0
70,61,9,0,13,115,2,4,2,10,0,3,3,2,3,16,19,3,1,0,21,74,56,1
119,66,1,7,28,220,4,6,55,17,1,0,0,0,3,6,7,0,0,0,0,57,75,1
127,61,1,-1,24,252,4,3,48,38,1,0,0,1,7,32,43,1,1,0,47,86,53,1
92,82,64,5,3,495,7,8,48,9,0,0,0,2,5,29,29,0,0,4,24,100,35,1
20,63,38,13,12,32,7,8,60,71,2,0,0,4,5,12,12,0,0,0,50,100,100,1
82,70,50,-1,5,162,7,8,76,60,2,3,3,1,5,15,20,0,0,2,45,100,67,1
41,73,67,-1,1,94,7,8,97,0,20,3,3,3,1,13,21,0,0,5,67,100,67,1
50,70,13,-1,7,88,6,6,65,25,1,0,0,1,3,38,38,0,0,1,34,97,50,1
69,71,41,1,1,151,7,8,101,53,1,2,2,7,4,33,8,0,0,1,26,100,79,0
76,77,43,6,5,273,6,8,86,6,0,0,0,5,7,37,37,1,1,1,38,100,67,0
71,64,7,0,8,164,4,6,84,58,0,3,3,3,3,25,26,1,0,3,38,92,67,1
108,87,56,4,24,156,7,8,63,5,0,5,5,3,3,29,0,0,0,0,41,100,67,0
135,68,25,5,6,299,6,6,77,55,2,0,0,2,8,24,25,0,0,1,29,96,71,1
49,65,7,-1,4,116,1,3,17,25,0,4,4,2,2,14,15,1,1,4,27,93,44,0
83,85,78,21,8,186,7,8,79,9,0,0,0,2,2,22,22,0,0,2,18,100,36,0
77,86,31,25,7,276,7,8,88,7,0,0,0,2,4,18,18,0,0,2,28,100,60,0
125,66,12,0,5,253,6,5,48,80,1,0,0,1,2,8,11,3,0,2,27,64,60,1
55,73,73,6,3,134,7,8,33,64,2,1,0,2,4,26,26,0,0,5,35,100,64,0
67,72,29,-1,10,135,6,2,56,5,0,1,1,1,2,25,32,1,1,2,31,92,33,0
37,73,64,0,6,60,7,8,67,23,1,0,0,2,3,13,13,0,0,1,31,100,63,1
107,69,77,0,6,323,6,6,94,46,3,0,0,3,18,44,46,1,1,1,22,96,60,1
77,70,2,0,4,308,0,2,78,6,1,2,2,7,4,41,42,1,1,3,29,95,48,0
81,81,78,0,9,232,7,8,52,13,1,0,0,1,6,20,21,0,0,1,10,100,50,0
47,75,49,0,2,172,7,8,44,32,1,1,1,0,5,10,11,0,0,5,18,100,83,1
94,82,38,0,21,207,5,8,59,31,0,1,1,2,4,15,16,0,0,0,44,100,100,0
109,86,36,8,11,348,7,8,82,4,0,0,0,3,3,20,20,0,0,1,40,100,86,0
60,82,53,6,3,159,7,8,35,7,0,0,0,3,4,30,30,0,0,4,30,100,78,0
59,75,60,0,1,209,7,8,71,21,1,3,3,3,5,27,28,0,0,4,29,100,89,1
59,76,20,10,4,214,6,5,70,0,0,0,0,3,1,24,26,1,0,2,24,96,40,0
58,82,30,0,5,129,7,8,75,32,20,1,1,4,3,13,14,0,0,3,57,100,88,1
143,65,7,0,28,245,1,3,37,59,9,1,1,4,26,56,59,1,1,0,15,95,83,1
41,63,41,2,4,99,7,8,88,70,4,2,2,2,7,20,20,0,0,2,50,100,82,1
184,74,63,1,4,352,7,8,57,25,2,3,3,1,9,25,53,0,0,1,16,100,56,0
66,65,60,-1,3,185,6,3,98,65,1,1,1,2,3,11,12,3,3,4,17,92,63,0
135,59,4,0,1,278,0,2,58,3,0,1,1,2,8,32,34,2,2,2,15,71,52,0
39,61,10,0,2,79,4,6,102,24,1,4,4,4,7,29,32,0,0,4,47,84,85,1
68,71,67,1,4,160,7,8,35,61,1,1,1,3,5,31,31,0,0,3,35,100,80,0
62,83,44,3,3,197,6,7,50,22,0,2,2,3,5,18,32,0,0,3,39,100,90,0
76,68,48,5,6,184,6,6,31,84,2,2,1,2,5,42,42,0,0,1,26,98,70,0
152,88,40,18,16,425,7,8,81,14,0,0,0,2,2,15,16,0,0,0,31,100,80,0
15,57,17,1,8,319,6,5,61,103,1,1,1,1,3,4,18,1,0,2,20,80,80,0
88,75,73,2,2,234,7,8,53,10,0,1,1,4,5,40,41,0,0,2,32,100,45,0
84,75,78,0,7,203,7,8,36,22,1,2,2,3,4,25,26,0,0,1,31,100,54,1
110,88,44,25,15,232,7,8,72,5,0,0,0,2,3,28,28,0,0,0,32,100,63,0
58,60,5,-1,16,92,3,2,43,51,0,2,2,1,2,19,23,4,3,0,57,78,60,1
78,81,56,-1,2,263,7,8,100,4,0,5,5,2,3,44,38,0,0,4,20,100,25,0
101,73,67,25,27,190,6,6,39,36,2,1,1,2,3,22,34,0,0,0,30,96,60,0
15,75,52,0,6,23,7,8,100,17,0,0,0,1,1,2,2,0,0,1,50,100,100,1
58,75,79,0,2,146,7,8,98,47,1,6,6,4,2,18,20,0,0,3,55,100,75,1
44,67,11,0,12,87,4,6,73,31,1,1,1,3,3,20,20,0,0,0,35,90,60,1
68,60,4,1,23,150,0,2,64,74,20,4,4,0,1,3,6,2,2,0,33,67,100,1
48,62,60,0,8,114,7,8,50,26,3,1,1,1,10,42,42,0,0,2,24,100,52,1
119,92,37,25,1,330,7,8,53,1,0,0,0,1,1,10,11,0,0,2,9,100,33,1
140,68,15,-1,8,378,6,4,70,0,20,0,0,3,0,10,13,3,1,1,54,77,60,1
48,75,27,0,12,89,6,6,54,0,20,0,0,1,0,10,10,0,0,0,50,90,50,1
84,84,72,25,11,196,7,8,89,0,0,0,0,3,1,18,4,0,0,1,47,100,67,0
43,65,70,2,1,82,6,5,53,33,1,4,4,8,2,25,30,2,1,3,33,97,56,1
105,62,1,-1,27,180,4,6,24,28,0,0,0,5,6,21,4,1,1,0,38,86,92,0
44,67,69,0,1,153,7,8,20,26,1,3,2,2,11,22,24,0,0,5,33,100,87,1
34,72,45,0,2,73,7,8,95,21,2,4,4,3,7,30,31,0,0,4,19,100,50,0
81,75,34,0,1,183,7,8,46,37,1,2,2,1,6,31,33,0,0,4,9,100,41,1
60,54,11,0,2,134,4,6,53,26,1,3,3,2,5,30,16,0,0,4,32,85,50,1
54,64,4,0,10,144,4,6,44,44,0,2,2,3,5,19,21,0,0,1,55,85,89,1
116,82,49,6,40,295,7,8,53,58,0,0,0,1,1,5,5,0,0,0,40,100,67,1
46,73,64,0,0,170,7,8,23,33,1,5,4,3,3,42,45,0,0,7,33,100,60,1
62,83,50,18,1,130,7,8,54,6,0,0,0,1,3,31,37,0,0,1,9,100,33,0
121,79,9,-1,9,305,4,5,63,6,0,0,0,1,6,12,16,1,0,1,19,69,64,1
28,63,58,1,1,94,7,8,70,82,2,5,5,2,6,17,25,0,0,2,56,100,100,1
66,70,11,-1,5,238,4,6,61,25,1,0,0,2,3,23,24,0,0,5,33,88,50,1
73,51,1,0,35,162,2,4,11,43,0,0,0,1,1,4,6,1,1,0,33,50,50,1
127,77,23,6,1,431,6,2,95,10,0,0,0,3,1,21,58,1,1,2,39,96,33,0
55,64,7,0,2,128,4,6,73,53,1,0,0,2,2,15,16,0,0,1,31,75,50,1
47,68,50,-1,5,103,7,8,80,80,5,1,1,4,8,36,36,0,0,3,31,100,71,1
45,62,31,0,3,84,5,6,62,68,0,11,11,5,8,28,30,0,0,4,60,93,87,1
99,72,11,22,26,184,4,5,85,0,0,0,0,2,0,26,30,1,0,0,56,96,50,0
110,78,54,1,0,253,7,8,52,21,0,1,1,2,13,37,39,0,0,3,18,100,59,0
40,65,8,0,9,79,4,5,96,0,20,2,2,2,0,11,13,1,0,1,46,77,75,1
88,77,23,10,9,225,6,6,57,22,0,0,0,1,10,44,58,0,0,3,21,98,65,0
21,63,52,-1,2,46,7,8,78,66,2,3,3,2,7,13,23,0,0,5,21,100,75,1
20,60,79,-1,3,37,7,8,80,72,20,2,2,3,12,4,4,1,1,2,100,100,100,1
78,61,36,0,3,170,5,2,90,111,3,0,0,3,4,18,21,3,0,3,57,71,100,1
120,88,32,3,2,74,7,8,61,2,0,1,1,1,3,23,13,0,0,2,25,100,56,0
117,57,2,0,11,331,4,6,41,60,3,0,0,2,6,16,17,0,0,1,53,82,100,1
